Date,ALRS.ME,VTBR.ME,GAZP.ME,GAZA.ME,LNTA.ME,NVTK.ME,SBER.ME,SNGS.ME,TATN.ME,YNDX.ME
2016-01-04,34.84128952026367,0.06749538332223892,98.15666198730469,431.0,,515.332763671875,73.97787475585938,30.45448875427246,211.794677734375,1064.0999755859375
2016-01-05,36.47576141357422,0.06586024910211563,99.27711486816406,431.0,,517.6792602539062,74.64209747314453,30.575233459472656,216.58865356445312,1133.9000244140625
2016-01-06,36.406341552734375,0.06572909653186798,98.90605926513672,449.0,,512.6253051757812,73.10231018066406,30.414241790771484,217.9681854248047,1112.0
2016-01-11,35.40925216674805,0.06317581981420517,95.58833312988281,440.0,,496.831298828125,68.70938110351562,29.694242477416992,209.0701141357422,987.0
2016-01-12,36.81653594970703,0.06437375396490097,97.15987396240234,438.0,,511.7226867675781,69.22264862060547,30.499204635620117,210.86354064941406,999.0
2016-01-13,36.35585403442383,0.06317581981420517,95.53012084960938,450.0,,516.957275390625,69.06414031982422,30.382938385009766,207.863037109375,1006.0
2016-01-14,36.13497543334961,0.06283480674028397,95.20999145507812,450.0,,519.935546875,70.22653198242188,30.40976905822754,207.38014221191406,1009.0
2016-01-15,34.014591217041016,0.06077120080590248,91.01918029785156,436.0,,490.6943359375,65.87133026123047,29.036855697631836,195.929931640625,954.0
2016-01-18,33.64226150512695,0.06068376451730728,90.6553955078125,432.0,,504.953857421875,65.02597045898438,30.123559951782227,196.3437957763672,963.2999877929688
2016-01-19,34.13449478149414,0.06068376451730728,91.6594467163086,435.0,,507.0297546386719,65.4260025024414,30.212997436523438,204.6555938720703,954.0
2016-01-20,34.70876693725586,0.05902239680290222,91.55030059814453,431.0,,499.7193603515625,63.27482223510742,29.712133407592773,200.0341033935547,912.5
2016-01-21,35.79420471191406,0.059013646095991135,92.9472427368164,429.0,,512.7154541015625,64.91273498535156,30.84355354309082,203.20704650878906,1020.0
2016-01-22,36.03400802612305,0.06085864454507828,96.33043670654297,441.0,,535.6392211914062,69.06414031982422,31.48305320739746,220.6582794189453,1020.0
2016-01-25,35.75634002685547,0.059853073209524155,96.76699829101562,441.0,,537.6248168945312,68.68673706054688,31.648515701293945,220.6238250732422,1002.0999755859375
2016-01-26,37.73158645629883,0.05916229262948036,95.95938110351562,439.0,,520.7478637695312,69.06414031982422,31.49646759033203,212.48448181152344,1012.0
2016-01-27,38.24274826049805,0.06004544347524643,97.49456024169922,458.0,,541.5054931640625,72.27203369140625,32.37746047973633,216.58865356445312,1049.9000244140625
2016-01-28,38.68449783325195,0.06260745972394943,99.31348419189453,449.0,,558.1118774414062,72.98155975341797,33.27186584472656,225.21080017089844,1017.4000244140625
2016-01-29,38.95585632324219,0.06444371491670609,99.38624572753906,436.0,,576.8839111328125,72.838134765625,32.703914642333984,234.2123260498047,1007.0
2016-02-01,39.12623977661133,0.0642688199877739,97.42180633544922,445.0,,568.5809326171875,72.838134765625,32.8336067199707,229.00454711914062,1013.0
2016-02-02,40.8995475769043,0.061855465173721313,96.40320587158203,437.0,,561.4509887695312,71.25305938720703,33.406028747558594,224.1416473388672,1012.0
2016-02-03,41.366546630859375,0.06078869104385376,95.31912231445312,437.0,,553.2380981445312,71.35118103027344,32.64130401611328,218.96836853027344,1012.5
2016-02-04,43.146156311035156,0.06294848024845123,98.2730712890625,437.0,,573.995849609375,73.64576721191406,34.09471130371094,234.902099609375,1054.0
2016-02-05,42.02915954589844,0.06221397593617439,97.80741882324219,445.0,,562.533935546875,73.36648559570312,33.71907043457031,231.28079223632812,1023.0
2016-02-08,40.95634460449219,0.06098980829119682,97.13077545166016,447.0,,545.2057495117188,71.4794921875,32.85149383544922,225.14181518554688,986.0
2016-02-09,39.88352584838867,0.05986182764172554,96.54872131347656,445.0,,545.9277954101562,70.86810302734375,32.7218017578125,224.52099609375,992.0
2016-02-10,39.3155632019043,0.06068376451730728,96.788818359375,446.0,,555.7651977539062,72.72490692138672,32.878318786621094,222.14132690429688,998.0
2016-02-11,40.38838195800781,0.05940712243318558,94.94078826904297,443.0,,538.7979736328125,71.10209655761719,32.730751037597656,215.8988800048828,1007.0
2016-02-12,42.4835319519043,0.06059632822871208,95.53012084960938,443.0,,550.5307006835938,71.59272003173828,33.262916564941406,225.0728302001953,989.0
2016-02-15,43.663631439208984,0.06173305958509445,97.07984161376953,443.0,,548.0036010742188,71.89463806152344,33.96502685546875,225.79713439941406,1008.0
2016-02-16,44.77430725097656,0.0616106353700161,98.840576171875,433.0,,546.1986694335938,72.84567260742188,33.65645980834961,226.0385284423828,1072.0
2016-02-17,43.543724060058594,0.06236262246966362,99.75003814697266,444.0,,555.675048828125,74.87609100341797,33.93372344970703,226.1764678955078,1044.0
2016-02-18,43.09566116333008,0.06431254744529724,100.40484619140625,467.0,,574.2666625976562,77.51788330078125,34.568748474121094,225.62466430664062,1014.0
2016-02-19,43.29129409790039,0.06356930732727051,99.60450744628906,450.0,,568.1295776367188,76.61212158203125,34.50167465209961,219.55467224121094,989.0
2016-02-22,44.395660400390625,0.0640939399600029,101.7872314453125,451.0,,577.8766479492188,77.8952865600586,35.19483184814453,222.31375122070312,1002.5
2016-02-24,44.995182037353516,0.06273861974477768,99.7863998413086,451.0,,569.3027954101562,77.06500244140625,34.792354583740234,215.82992553710938,974.5
2016-02-25,44.50294494628906,0.0624675452709198,100.38302612304688,467.0,,572.4616088867188,78.53687286376953,34.4256477355957,219.3477325439453,982.0
